epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1097.54,1.36,1.14826,1.36422,0.74815,0.71041,0.7701,0.44894,1.09445,1.1873,1.06049,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1449.65,1.36094,1.1506,1.36062,0.75932,0.6994,0.76832,0.45321,1.09332,1.30491,1.05176,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1807.93,1.35673,1.14259,1.36201,0.77961,0.6961,0.77539,0.4558,1.08251,1.17146,1.04951,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2169.56,1.36613,1.14249,1.36477,0.75262,0.71465,0.77497,0.4584,1.07852,1.23358,1.04655,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2529.64,1.33585,1.11509,1.34174,0.78043,0.70911,0.77888,0.45876,1.07793,1.25031,1.04866,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2890.23,1.34697,1.11264,1.34772,0.76882,0.71509,0.78299,0.46423,1.06976,1.17155,1.04162,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,3250.24,1.34668,1.10711,1.34089,0.76001,0.71992,0.78276,0.4649,1.0675,1.21085,1.04121,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,3608.97,1.34945,1.10597,1.35011,0.75789,0.72038,0.78527,0.46773,1.06616,1.17592,1.0405,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,3967.11,1.33691,1.08132,1.34035,0.76879,0.72276,0.78961,0.47222,1.06446,1.17856,1.03907,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4324.7,1.32487,1.08743,1.33384,0.77941,0.72749,0.79286,0.47346,1.06564,1.14836,1.03906,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,4680.75,1.33201,1.06846,1.3364,0.78669,0.71487,0.79467,0.477,1.06553,1.08947,1.03936,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,5036.21,1.32445,1.0803,1.32696,0.78192,0.7218,0.79237,0.47653,1.06358,1.10587,1.0381,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,5392.01,1.29564,1.05948,1.31827,0.7827,0.72439,0.79476,0.47796,1.0562,1.06918,1.031,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,5748.78,1.31356,1.05277,1.3232,0.78878,0.71978,0.79843,0.48099,1.06116,1.10307,1.03291,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,6104.93,1.30572,1.03229,1.31223,0.77897,0.7338,0.80107,0.48282,1.06018,1.07256,1.03274,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,6459.94,1.29055,1.02081,1.30498,0.78869,0.73666,0.80434,0.48364,1.05436,1.05935,1.03097,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,6816.02,1.28433,1.00844,1.29929,0.80032,0.72221,0.80532,0.4835,1.05869,1.07539,1.03124,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,7169.29,1.28209,1.00692,1.30081,0.79189,0.73002,0.80415,0.48327,1.05887,1.10101,1.0311,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,7521.82,1.28405,1.0102,1.2959,0.78713,0.74572,0.80852,0.48672,1.05097,1.11025,1.02711,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,7876.44,1.26303,0.97981,1.29209,0.78271,0.7459,0.80983,0.489,1.04751,1.07762,1.02389,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,8231.33,1.27544,0.9955,1.29316,0.78702,0.7468,0.80991,0.48887,1.04925,1.06459,1.02641,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,8584.73,1.28203,0.99446,1.29111,0.79503,0.74372,0.81037,0.49139,1.04564,1.00752,1.0253,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,8950.28,1.27042,0.99074,1.2886,0.79134,0.74756,0.81159,0.49229,1.04842,0.97813,1.02676,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,9314.4,1.27762,0.98491,1.29312,0.7892,0.74922,0.81091,0.49194,1.04664,0.97395,1.02649,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,9672.66,1.27077,0.97726,1.28112,0.79172,0.74617,0.81135,0.4924,1.04626,0.97383,1.02592,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,10031,1.25074,0.95296,1.27044,0.78708,0.75476,0.81196,0.49367,1.04499,0.97814,1.02523,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,10389.5,1.24738,0.95987,1.27549,0.80207,0.74498,0.814,0.49581,1.0421,0.9725,1.02421,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,10755.8,1.23533,0.94201,1.26598,0.80428,0.74124,0.81387,0.49588,1.03983,0.97368,1.02284,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,11121.9,1.24634,0.95489,1.27406,0.80826,0.73909,0.81355,0.49647,1.03818,0.96419,1.02053,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,11482.1,1.23322,0.93326,1.26581,0.79714,0.74294,0.81513,0.49767,1.03783,0.94833,1.0184,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,11844.8,1.22867,0.94068,1.26141,0.80415,0.74459,0.8161,0.49821,1.03656,0.94846,1.01667,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,12208.3,1.21605,0.92292,1.25098,0.80398,0.74852,0.81846,0.50021,1.03631,0.93712,1.01615,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,12573.2,1.22705,0.91635,1.26984,0.8038,0.74943,0.81956,0.50102,1.03666,0.92507,1.01666,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,12937.4,1.21685,0.90093,1.25288,0.79849,0.75628,0.81874,0.50225,1.03758,0.92341,1.01694,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,13297.5,1.21237,0.90096,1.24976,0.80661,0.74939,0.81797,0.5014,1.03688,0.91715,1.01601,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,13661.1,1.21738,0.9123,1.25822,0.80183,0.75498,0.81704,0.5024,1.03608,0.91146,1.01513,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,14027.1,1.18724,0.87642,1.23691,0.80441,0.75466,0.81941,0.50325,1.035,0.90885,1.01393,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,14390.5,1.19642,0.88707,1.24136,0.80493,0.75405,0.81835,0.50466,1.0357,0.91067,1.01462,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,14753.1,1.1741,0.86471,1.23198,0.80359,0.75524,0.81821,0.50463,1.03597,0.91065,1.01516,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,15114.6,1.18111,0.86474,1.23269,0.80335,0.75552,0.81865,0.50497,1.03632,0.90742,1.01588,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,15472,1.19708,0.8782,1.23214,0.80228,0.75583,0.81911,0.50549,1.03652,0.9039,1.01656,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,15834.5,1.17452,0.85645,1.21933,0.80412,0.75203,0.81973,0.50532,1.0362,0.90017,1.01628,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,16193,1.17758,0.85927,1.22179,0.80709,0.75079,0.81917,0.50463,1.03591,0.90104,1.01672,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,16555.8,1.17065,0.84302,1.22252,0.81904,0.74403,0.81921,0.50442,1.03535,0.90255,1.01624,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,16918.3,1.17348,0.83963,1.22688,0.82004,0.74262,0.81954,0.50484,1.03543,0.90346,1.01673,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,17283.3,1.16592,0.83028,1.2195,0.81734,0.74538,0.81989,0.50568,1.03553,0.89933,1.01685,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,17651.1,1.16006,0.83336,1.21328,0.81792,0.74607,0.82073,0.50647,1.03487,0.89912,1.01661,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,18017.2,1.14789,0.82769,1.21194,0.81705,0.75012,0.82061,0.50669,1.0344,0.90037,1.01678,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,18381.1,1.1663,0.83665,1.20953,0.82238,0.74757,0.82135,0.50684,1.0332,0.89663,1.01626,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,18742.3,1.16731,0.83903,1.21145,0.82246,0.74865,0.82197,0.50739,1.03258,0.89251,1.01592,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,19106.3,1.13708,0.80465,1.19728,0.8217,0.74912,0.82207,0.50728,1.03263,0.89,1.01615,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,19474.1,1.13319,0.8064,1.20003,0.82115,0.75196,0.82203,0.50739,1.03277,0.8905,1.01677,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,19841.2,1.13233,0.79923,1.19491,0.8205,0.75413,0.82277,0.50721,1.03296,0.89157,1.01739,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,20210.6,1.13144,0.81423,1.19863,0.81765,0.75583,0.82253,0.50763,1.03275,0.88964,1.01747,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,20576.6,1.12375,0.79567,1.18896,0.81665,0.75918,0.82366,0.50854,1.03289,0.88304,1.01837,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,20943.3,1.11141,0.77379,1.18396,0.81794,0.75893,0.82402,0.50901,1.03316,0.87668,1.01866,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,21309.4,1.11435,0.7818,1.18843,0.81643,0.7601,0.8245,0.50868,1.03344,0.87456,1.01937,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,21674.5,1.11189,0.77982,1.1821,0.81783,0.76165,0.82501,0.50866,1.03319,0.87218,1.01961,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,22043.3,1.10964,0.77952,1.18688,0.81891,0.75841,0.82525,0.50896,1.03301,0.86926,1.01983,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,22416.4,1.10481,0.75472,1.17063,0.81814,0.75797,0.82552,0.5094,1.03307,0.86656,1.02045,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,22789.6,1.11108,0.77258,1.16896,0.81705,0.75854,0.82537,0.50874,1.03291,0.86399,1.02043,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,23169,1.09525,0.75202,1.17587,0.81798,0.76054,0.82561,0.50937,1.03261,0.86105,1.02028,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,23553.2,1.0907,0.75015,1.16388,0.81587,0.75975,0.82528,0.50965,1.03183,0.85737,1.01978,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,23936.6,1.08705,0.74955,1.16669,0.81249,0.764,0.82559,0.51,1.03179,0.85607,1.01986,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,24320.3,1.08939,0.73818,1.16825,0.81588,0.76254,0.82563,0.51062,1.03185,0.85273,1.01999,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,24703.5,1.06957,0.74145,1.16157,0.8173,0.76178,0.82572,0.51065,1.03241,0.85255,1.02038,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,25080.6,1.06569,0.72509,1.14548,0.81933,0.75888,0.82601,0.51059,1.03242,0.85229,1.0207,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,25459.8,1.08215,0.72612,1.15486,0.81734,0.75886,0.82489,0.51054,1.0325,0.85032,1.02057,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,25839.4,1.05292,0.71405,1.1445,0.81787,0.76072,0.82542,0.51091,1.03267,0.84691,1.02103,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,26218.5,1.04792,0.70912,1.14133,0.81665,0.76177,0.82534,0.51086,1.03257,0.84448,1.02107,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,26594.1,1.05118,0.70574,1.14642,0.81778,0.76346,0.82747,0.51122,1.03297,0.84057,1.02149,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,26969.8,1.06429,0.71773,1.14784,0.8183,0.76375,0.82743,0.51144,1.03306,0.83666,1.02182,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,27344.8,1.06175,0.70803,1.14875,0.81608,0.76476,0.82681,0.51159,1.03257,0.83288,1.02173,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,27723.5,1.04011,0.69436,1.13253,0.81497,0.7659,0.82778,0.51163,1.03211,0.82997,1.0218,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,28103,1.04255,0.68777,1.13259,0.81662,0.76498,0.82797,0.51159,1.03177,0.82759,1.02184,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
