epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,19676,0.58971,0.52375,0.25142,0.77744,0.72636,0.77931,0.44184,0.29777,0.60063,0.18679,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,20325.7,0.58394,0.52647,0.24724,0.79146,0.73104,0.78774,0.44791,0.29651,0.55308,0.1866,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,20973.8,0.56908,0.52973,0.25342,0.78881,0.73064,0.79239,0.45523,0.29257,0.54805,0.18128,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,21619.3,0.57742,0.53435,0.25262,0.78068,0.73159,0.78947,0.45314,0.29798,0.605,0.18559,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,22265.9,0.57127,0.52456,0.24133,0.79582,0.75322,0.80181,0.46129,0.28981,0.57075,0.18229,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,22912,0.58384,0.52582,0.24542,0.79836,0.73612,0.79254,0.45443,0.29167,0.61561,0.18439,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,23559.1,0.56555,0.52889,0.24391,0.80463,0.74199,0.80148,0.45975,0.29861,0.63753,0.18648,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,24205.3,0.57946,0.52085,0.2438,0.80158,0.75707,0.80976,0.4654,0.29108,0.58318,0.18139,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,24852.8,0.57261,0.5163,0.24054,0.79119,0.75447,0.7975,0.45704,0.29624,0.54589,0.18711,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,25501.8,0.54905,0.52278,0.23721,0.79546,0.75178,0.79915,0.45912,0.29461,0.5451,0.18704,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,26152.8,0.5452,0.51425,0.23316,0.81369,0.74937,0.80306,0.46309,0.29575,0.54476,0.18731,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,26805.1,0.55688,0.51724,0.24412,0.79553,0.75991,0.80334,0.45854,0.29684,0.55346,0.18801,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,27455.8,0.5078,0.4939,0.2229,0.81659,0.75979,0.81443,0.46895,0.28991,0.53578,0.1885,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,28105.1,0.49956,0.49646,0.21453,0.79917,0.77646,0.81315,0.47397,0.28704,0.51446,0.18355,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,28757.2,0.50409,0.49682,0.21855,0.80228,0.77111,0.81665,0.47015,0.29283,0.51378,0.18487,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,29409.5,0.51988,0.49968,0.22646,0.80682,0.76721,0.81148,0.47117,0.29155,0.50878,0.18528,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,30059.2,0.51705,0.4964,0.22271,0.80198,0.76594,0.80855,0.47133,0.29211,0.50576,0.19003,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,30709.2,0.52376,0.49547,0.22177,0.81387,0.75798,0.81002,0.47266,0.29188,0.51079,0.18954,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
48,31359.1,0.53668,0.49328,0.22721,0.80549,0.76437,0.8022,0.4639,0.301,0.5126,0.1922,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286
49,32010.9,0.52339,0.4921,0.22302,0.80381,0.76209,0.80247,0.46754,0.29736,0.50232,0.19368,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
50,32660.6,0.49814,0.49298,0.21413,0.81176,0.75543,0.80404,0.46759,0.29612,0.5097,0.19154,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
51,33311.9,0.50483,0.48495,0.21245,0.80734,0.77062,0.80665,0.46873,0.29622,0.51371,0.19546,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
