epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,9069.07,1.39812,1.17513,1.34286,0.74105,0.68026,0.74627,0.42681,1.3881,1.54064,1.28507,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,9360.97,1.38425,1.16185,1.32561,0.75038,0.68415,0.74931,0.4322,1.40032,1.31696,1.29192,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,9649.16,1.39111,1.13812,1.33685,0.74472,0.68961,0.75335,0.43214,1.3852,1.34286,1.28142,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,9940.25,1.37516,1.14405,1.31952,0.73715,0.69659,0.75553,0.43815,1.38498,1.37983,1.27889,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,10231.3,1.39119,1.14603,1.32466,0.75237,0.7025,0.76393,0.44163,1.39715,1.48751,1.27906,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,10520.5,1.35885,1.12961,1.30818,0.75652,0.70555,0.76875,0.44333,1.39741,1.36223,1.28297,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,10813.6,1.36065,1.11309,1.30526,0.75291,0.70172,0.76811,0.44649,1.40191,1.35946,1.27823,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,11106.3,1.35505,1.11053,1.30881,0.76022,0.70367,0.77027,0.45014,1.38385,1.35669,1.27333,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,11400.1,1.36543,1.11657,1.30481,0.76366,0.69333,0.76851,0.44499,1.38409,1.38527,1.27373,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,11693.4,1.35415,1.0956,1.30325,0.76116,0.70303,0.77016,0.44735,1.38351,1.24311,1.27035,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
